id,entity_id,code,name,account_type,normal_balance,parent_code,created_at,updated_at,category,sub_category,description,is_bank_account,status,gst_applicable
106,,6300,Office Rent,EXPENSE,DEBIT,,2026-02-19 03:40:06.757737,2026-02-19 03:40:06.757737,Operating Expenses,Office & Facilities,Monthly office rental payments. Includes base rent and any common area maintenance charges.,False,ACTIVE,False
107,,6310,Office Equipment,EXPENSE,DEBIT,,2026-02-19 03:40:06.757738,2026-02-19 03:40:06.757738,Operating Expenses,Office & Facilities,"Small office equipment purchases below the capitalisation threshold (e.g. keyboards, headsets, cables). Items above threshold go to 1500.",False,ACTIVE,False
108,,6400,Travel - Tickets,EXPENSE,DEBIT,,2026-02-19 03:40:06.757738,2026-02-19 03:40:06.757738,Operating Expenses,Travel & Entertainment,Business travel flight and rail tickets for staff. Distinct from employee claims (6010) as these may be booked centrally by the company.,False,ACTIVE,False
109,,6401,Travel - Meals,EXPENSE,DEBIT,,2026-02-19 03:40:06.757739,2026-02-19 03:40:06.757739,Operating Expenses,Travel & Entertainment,Company-paid meals during business travel or team events. Distinct from employee claims (6011) as these may be company-card purchases.,False,ACTIVE,False
110,,6402,Entertainment,EXPENSE,DEBIT,,2026-02-19 03:40:06.757739,2026-02-19 03:40:06.757740,Operating Expenses,Travel & Entertainment,"Client entertainment, team social events, and team-building activities.",False,ACTIVE,False
111,,6500,Accounting & Bookkeeping Fees,EXPENSE,DEBIT,,2026-02-19 03:40:06.757740,2026-02-19 03:40:06.757740,Operating Expenses,Professional Fees,"Fees paid to external accountants, bookkeepers, and audit firms for financial reporting, tax preparation, and compliance services.",False,ACTIVE,False
112,,6501,Legal Fees,EXPENSE,DEBIT,,2026-02-19 03:40:06.757741,2026-02-19 03:40:06.757741,Operating Expenses,Professional Fees,"Fees paid to law firms and legal advisors for corporate legal matters, contract review, disputes, and regulatory compliance.",False,ACTIVE,False
113,,6502,Fines & Penalties,EXPENSE,DEBIT,,2026-02-19 03:40:06.757741,2026-02-19 03:40:06.757742,Operating Expenses,Professional Fees,"Regulatory fines, late payment penalties, and other punitive charges from government bodies or business partners.",False,ACTIVE,False
147,1,1009,Bank - Wise (Wise AUD),ASSET,DEBIT,,2026-03-10 10:26:53.790937,2026-03-10 10:26:53.790940,Assets,Cash - Bank,Bank account: Wise WISE-131559791 (AUD),True,ACTIVE,False
115,,6700,Technology - Infrastructure,EXPENSE,DEBIT,,2026-02-19 03:40:06.757743,2026-02-19 03:40:06.757743,Operating Expenses,Technology,"Cloud hosting costs (AWS, GCP, etc.), server infrastructure, CDN, database hosting, and DevOps tooling.",False,ACTIVE,False
116,,6701,Technology - Software Subscriptions,EXPENSE,DEBIT,,2026-02-19 03:40:06.757743,2026-02-19 03:40:06.757744,Operating Expenses,Technology,"SaaS subscriptions for business tools (e.g. Slack, Jira, GitHub, analytics platforms, CRM). Monthly or annual licence fees.",False,ACTIVE,False
117,,7300,Depreciation - Computer & Equipment,EXPENSE,DEBIT,,2026-02-19 03:40:06.757744,2026-02-19 03:40:06.757744,Other Expense,Depreciation,Periodic depreciation expense charged to P&L for Computer & Peripherals (1500). The other side of the entry goes to Accum Depr (1600).,False,ACTIVE,False
118,,7301,Depreciation - In-Car Devices,EXPENSE,DEBIT,,2026-02-19 03:40:06.757745,2026-02-19 03:40:06.757745,Other Expense,Depreciation,Periodic depreciation expense charged to P&L for Hardware Devices (1510). The other side of the entry goes to Accum Depr (1610).,False,ACTIVE,False
119,,7400,Amortisation - Technology Development,EXPENSE,DEBIT,,2026-02-19 03:40:06.757745,2026-02-19 03:40:06.757745,Other Expense,Amortisation,Periodic amortisation expense charged to P&L for capitalised Technology Development (1710). The other side of the entry goes to Accum Amort (1810).,False,ACTIVE,False
120,,7401,Amortisation - Brand,EXPENSE,DEBIT,,2026-02-19 03:40:06.757746,2026-02-19 03:40:06.757746,Other Expense,Amortisation,Periodic amortisation expense charged to P&L for capitalised Brand assets (1700). The other side of the entry goes to Accum Amort (1800).,False,ACTIVE,False
121,,7000,Other Income - Grants,REVENUE,CREDIT,,2026-02-19 03:40:06.757746,2026-02-19 03:40:06.757747,Other Income,Other Income,"Government grants received (e.g. Enterprise Singapore grants, Startup SG, Australian government innovation grants). Recognised when grant conditions are met.",False,ACTIVE,False
122,,7001,Other Income - Cash Rebate,REVENUE,CREDIT,,2026-02-19 03:40:06.757747,2026-02-19 03:40:06.757747,Other Income,Other Income,"Cash rebates received from vendors, banks, or service providers (e.g. corporate card cashback, volume rebates from suppliers).",False,ACTIVE,False
123,,7002,Other Income - Interest,REVENUE,CREDIT,,2026-02-19 03:40:06.757748,2026-02-19 03:40:06.757748,Other Income,Other Income,Interest earned on bank savings accounts and term deposits. Non-operating income.,False,ACTIVE,False
124,,7100,Foreign Exchange Gains/Losses,EXPENSE,VARIES,,2026-02-19 03:40:06.757748,2026-02-19 03:40:06.757749,Other Expense,FX,"Realised and unrealised gains or losses from foreign currency transactions and balance sheet translation (e.g. AUD to SGD conversion). Debit for losses, credit for gains.",False,ACTIVE,False
125,,8000,IC - Due from AU (SG books),ASSET,DEBIT,,2026-02-19 03:40:06.757749,2026-02-19 03:40:06.757749,Intercompany,IC Receivable,Amount owed to DL SG by DL AU. Recorded in SG entity books. Eliminates with 8110 (AU's corresponding payable) on group consolidation.,False,ACTIVE,False
126,,8001,IC - Due from Ventures (SG books),ASSET,DEBIT,,2026-02-19 03:40:06.757750,2026-02-19 03:40:06.757750,Intercompany,IC Receivable,Amount owed to DL SG by DL Ventures. Recorded in SG entity books. Eliminates with 8120 (Ventures' corresponding payable) on group consolidation.,False,ACTIVE,False
127,,8010,IC - Due from SG (AU books),ASSET,DEBIT,,2026-02-19 03:40:06.757750,2026-02-19 03:40:06.757751,Intercompany,IC Receivable,Amount owed to DL AU by DL SG. Recorded in AU entity books. Eliminates with 8100 (SG's corresponding payable) on group consolidation.,False,ACTIVE,False
128,,8011,IC - Due from Ventures (AU books),ASSET,DEBIT,,2026-02-19 03:40:06.757751,2026-02-19 03:40:06.757751,Intercompany,IC Receivable,Amount owed to DL AU by DL Ventures. Recorded in AU entity books. Eliminates with 8121 (Ventures' corresponding payable) on group consolidation.,False,ACTIVE,False
129,,8020,IC - Due from SG (Ventures books),ASSET,DEBIT,,2026-02-19 03:40:06.757752,2026-02-19 03:40:06.757752,Intercompany,IC Receivable,Amount owed to DL Ventures by DL SG. Recorded in Ventures entity books. Eliminates with 8101 (SG's corresponding payable) on group consolidation.,False,ACTIVE,False
130,,8021,IC - Due from AU (Ventures books),ASSET,DEBIT,,2026-02-19 03:40:06.757752,2026-02-19 03:40:06.757753,Intercompany,IC Receivable,Amount owed to DL Ventures by DL AU. Recorded in Ventures entity books. Eliminates with 8111 (AU's corresponding payable) on group consolidation.,False,ACTIVE,False
131,,8100,IC - Due to AU (SG books),LIABILITY,CREDIT,,2026-02-19 03:40:06.757753,2026-02-19 03:40:06.757753,Intercompany,IC Payable,Amount owed by DL SG to DL AU. Recorded in SG entity books. Eliminates with 8010 (AU's corresponding receivable) on group consolidation.,False,ACTIVE,False
132,,8101,IC - Due to Ventures (SG books),LIABILITY,CREDIT,,2026-02-19 03:40:06.757754,2026-02-19 03:40:06.757754,Intercompany,IC Payable,Amount owed by DL SG to DL Ventures. Recorded in SG entity books. Eliminates with 8020 (Ventures' corresponding receivable) on group consolidation.,False,ACTIVE,False
133,,8110,IC - Due to SG (AU books),LIABILITY,CREDIT,,2026-02-19 03:40:06.757754,2026-02-19 03:40:06.757754,Intercompany,IC Payable,Amount owed by DL AU to DL SG. Recorded in AU entity books. Eliminates with 8000 (SG's corresponding receivable) on group consolidation.,False,ACTIVE,False
134,,8111,IC - Due to Ventures (AU books),LIABILITY,CREDIT,,2026-02-19 03:40:06.757755,2026-02-19 03:40:06.757755,Intercompany,IC Payable,Amount owed by DL AU to DL Ventures. Recorded in AU entity books. Eliminates with 8001 (SG's corresponding receivable) on group consolidation.,False,ACTIVE,False
135,,8120,IC - Due to SG (Ventures books),LIABILITY,CREDIT,,2026-02-19 03:40:06.757755,2026-02-19 03:40:06.757756,Intercompany,IC Payable,Amount owed by DL Ventures to DL SG. Recorded in Ventures entity books. Eliminates with 8020 (SG's corresponding receivable) on group consolidation.,False,ACTIVE,False
136,,8121,IC - Due to AU (Ventures books),LIABILITY,CREDIT,,2026-02-19 03:40:06.757756,2026-02-19 03:40:06.757756,Intercompany,IC Payable,Amount owed by DL Ventures to DL AU. Recorded in Ventures entity books. Eliminates with 8021 (AU's corresponding receivable) on group consolidation.,False,ACTIVE,False
137,,9000,Income Tax Expense,EXPENSE,DEBIT,,2026-02-19 03:40:06.757757,2026-02-19 03:40:06.757757,Tax,Tax,"Corporate income tax expense for the period (17% for Singapore, 25% for Australia). Calculated on taxable profit after all allowable deductions.",False,ACTIVE,False
138,2,1000,Bank - OCBC Bank (OCBC Main account),ASSET,DEBIT,,2026-03-09 06:14:16.562731,2026-03-09 06:14:16.562747,Assets,Cash - Bank,Bank account: OCBC Bank 713147601001 (SGD),True,ACTIVE,False
139,2,1001,Bank - Wise (Wise SGD),ASSET,DEBIT,,2026-03-10 10:25:49.213488,2026-03-10 10:25:49.213492,Assets,Cash - Bank,Bank account: Wise WISE-12055917 (SGD),True,ACTIVE,False
140,2,1002,Bank - Wise (Wise AUD),ASSET,DEBIT,,2026-03-10 10:25:49.616014,2026-03-10 10:25:49.616019,Assets,Cash - Bank,Bank account: Wise WISE-21444319 (AUD),True,ACTIVE,False
141,2,1003,Bank - Wise (Wise INR),ASSET,DEBIT,,2026-03-10 10:25:49.924214,2026-03-10 10:25:49.924229,Assets,Cash - Bank,Bank account: Wise WISE-24026198 (INR),True,ACTIVE,False
142,2,1004,Bank - Wise (Wise MYR),ASSET,DEBIT,,2026-03-10 10:25:50.301038,2026-03-10 10:25:50.301042,Assets,Cash - Bank,Bank account: Wise WISE-31662410 (MYR),True,ACTIVE,False
143,2,1005,Bank - Wise (Wise PKR),ASSET,DEBIT,,2026-03-10 10:25:50.700360,2026-03-10 10:25:50.700372,Assets,Cash - Bank,Bank account: Wise WISE-26222224 (PKR),True,ACTIVE,False
144,2,1006,Bank - Wise (Wise USD),ASSET,DEBIT,,2026-03-10 10:25:51.127334,2026-03-10 10:25:51.127342,Assets,Cash - Bank,Bank account: Wise WISE-12055918 (USD),True,ACTIVE,False
145,1,1007,Bank - Wise (Wise SGD),ASSET,DEBIT,,2026-03-10 10:26:53.128774,2026-03-10 10:26:53.128778,Assets,Cash - Bank,Bank account: Wise WISE-131587077 (SGD),True,ACTIVE,False
146,1,1008,Bank - Wise (Wise USD),ASSET,DEBIT,,2026-03-10 10:26:53.494666,2026-03-10 10:26:53.494669,Assets,Cash - Bank,Bank account: Wise WISE-131216249 (USD),True,ACTIVE,False
148,3,1010,Bank - Wise (Wise AUD),ASSET,DEBIT,,2026-03-10 10:28:10.703307,2026-03-10 10:28:10.703311,Assets,Cash - Bank,Bank account: Wise WISE-61954559 (AUD),True,ACTIVE,False
149,3,1011,Bank - Wise (Wise USD),ASSET,DEBIT,,2026-03-10 10:28:11.112927,2026-03-10 10:28:11.112932,Assets,Cash - Bank,Bank account: Wise WISE-61954560 (USD),True,ACTIVE,False
150,1,1012,Bank - DBS (DBS USD),ASSET,DEBIT,,2026-03-10 10:52:58.118598,2026-03-10 10:52:58.118604,Assets,Cash - Bank,Bank account: DBS  072-669493-3 (USD),True,ACTIVE,False
152,1,1013,Bank - DBS (DBS SGD),ASSET,DEBIT,,2026-03-10 10:54:11.607147,2026-03-10 10:54:11.607154,Assets,Cash - Bank,Bank account: DBS  072-669493-4 (SGD),True,ACTIVE,False
153,1,1014,Bank - DBS (DBS EUR),ASSET,DEBIT,,2026-03-10 10:54:32.900235,2026-03-10 10:54:32.900241,Assets,Cash - Bank,Bank account: DBS  072-669493-5 (EUR),True,ACTIVE,False
154,3,1015,Bank - Commonwealth Bank (CBA),ASSET,DEBIT,,2026-03-10 10:55:59.389972,2026-03-10 10:55:59.389976,Assets,Cash - Bank,Bank account: Commonwealth Bank 06224610347311 (AUD),True,ACTIVE,False
155,2,1016,Bank - OCBC Bank (OCBC),ASSET,DEBIT,,2026-03-10 21:56:59.217193,2026-03-10 21:56:59.217205,Assets,Cash - Bank,Bank account: OCBC Bank 588154393001 (SGD),True,ACTIVE,False
156,2,1017,Bank - Stripe (Stripe Platform ),ASSET,DEBIT,,2026-03-10 21:57:49.992767,2026-03-10 21:57:49.992782,Assets,Cash - Bank,Bank account: Stripe 1111 (SGD),True,ACTIVE,False
157,2,1018,Bank - Stripe (Stripe Connect),ASSET,DEBIT,,2026-03-10 21:58:04.962259,2026-03-10 21:58:04.962273,Assets,Cash - Bank,Bank account: Stripe 2222 (SGD),True,ACTIVE,False
158,3,1019,Bank - Stripe (Stripe Platform),ASSET,DEBIT,,2026-03-10 21:58:26.887442,2026-03-10 21:58:26.887457,Assets,Cash - Bank,Bank account: Stripe 3333 (AUD),True,ACTIVE,False
159,3,1020,Bank - Stripe (Stripe Connect),ASSET,DEBIT,,2026-03-10 21:58:42.511948,2026-03-10 21:58:42.511962,Assets,Cash - Bank,Bank account: Stripe 4444 (AUD),True,ACTIVE,False
