disposition,rule_name,entity,description_operator,description_value,contra_account_code,contra_account_name,hits,purity_pct,qb_label,is_new_vs_qb_rules,note
dropped:label-is-SPLIT,mined: debit purchase godaddy com,DL SG,contains,debit purchase godaddy com,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx birthdaybot io new debit purchase,DL SG,contains,xx birthdaybot io new debit purchase,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx google play gur debit purchase,DL SG,contains,xx google play gur debit purchase,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx adobe acropro subs ado debit purchase,DL SG,contains,xx adobe acropro subs ado debit purchase,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx lucidchart com charge sou debit purchase,DL SG,contains,xx lucidchart com charge sou debit purchase,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: fast payment bexp ng cheng leng inv drive lah pt,DL SG,contains,fast payment bexp ng cheng leng inv drive lah pt,,,9,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: justco singapore pte ltd fast payment bexp justc,DL SG,contains,justco singapore pte ltd fast payment bexp justc,,,9,100.0,Other Operating Expenses:Corporate - Office Rent,yes,pattern names party 'bexp' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: gps fleet sdn bhd,DL SG,contains,gps fleet sdn bhd,,,9,100.0,Technology Development,covered,
covered-by-counterparty,mined: to zilla marie cenido general nan auto categoriz,DL SG,contains,to zilla marie cenido general nan auto categoriz,,,9,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'zilla marie' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx zoom com san debit purchase,DL SG,contains,xx zoom com san debit purchase,,,9,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'zoom' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx ngrok inc san debit purchase,DL SG,contains,xx ngrok inc san debit purchase,,,9,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx paddle net n n cloud lon debit purchase,DL SG,contains,xx paddle net n n cloud lon debit purchase,,,9,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx loom subscription aus debit purchase,DL SG,contains,xx loom subscription aus debit purchase,,,9,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'loom' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: sent money to jay balan dl ops fund,DL SG,contains,sent money to jay balan dl ops fund,,,9,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx ga insights cloudbot ire debit purchase,DL SG,contains,xx ga insights cloudbot ire debit purchase,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx surveymonkey dub,DL SG,contains,debit purchase xx surveymonkey dub,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx docsend inc,DL SG,contains,debit purchase xx docsend inc,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx trello com atlassian,DL SG,contains,debit purchase xx trello com atlassian,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx adobe com dub,DL SG,contains,debit purchase xx adobe com dub,,,9,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx twilio san,DL SG,contains,debit purchase xx twilio san,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx intercom dub,DL SG,contains,debit purchase xx intercom dub,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx trello com atlassian new,DL SG,contains,debit purchase xx trello com atlassian new,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx google ads,DL SG,contains,xx google ads,,,8,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
rule,mined: sent lai mei regina teh,DL SG,contains,sent lai mei regina teh,6000,Salaries & Wages,8,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,
covered-by-counterparty,mined: fast payment bexp chuan quan koh photographer dr,DL SG,contains,fast payment bexp chuan quan koh photographer dr,,,8,100.0,Cost of Overhead Related to Service:Market -Asset Creation,yes,pattern names party 'bexp' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx overflow io protoio debit purchase,DL SG,contains,xx overflow io protoio debit purchase,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx voucherify rspective kat debit purchase,DL SG,contains,xx voucherify rspective kat debit purchase,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx adobe creative cloud debit purchase,DL SG,contains,xx adobe creative cloud debit purchase,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
rule,mined: mythri s,DL SG,contains,mythri s,6000,Salaries & Wages,8,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,
covered-by-counterparty,mined: xx typeform s l bar debit purchase auto categori,DL SG,contains,xx typeform s l bar debit purchase auto categori,,,8,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'typeform' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx google ads cc debit purchase auto categorized,DL SG,contains,xx google ads cc debit purchase auto categorized,,,8,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
rule,mined: to lai mei regina teh general nan auto categoriz,DL SG,contains,to lai mei regina teh general nan auto categoriz,6000,Salaries & Wages,8,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,
covered-by-counterparty,mined: to alexcess car general nan auto categorized cos,DL SG,contains,to alexcess car general nan auto categorized cos,,,8,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'alexcess car' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx amplitude inc san debit purchase,DL SG,contains,xx amplitude inc san debit purchase,,,8,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'amplitude' — its arbitrated default governs; a rule would override it
rule,mined: biz rr giro,DL SG,contains,biz rr giro,6001,Employer CPF (SG),8,100.0,Other Operating Expenses:Human Resource - CPF Contribution,yes,
dropped:label-is-SPLIT,mined: xx github debit purchase,DL SG,contains,xx github debit purchase,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx upwork ref debit credit,DL SG,contains,xx upwork ref debit credit,,,8,100.0,Other Income-Refund,yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: debit purchase xx adroll emea dub,DL SG,contains,debit purchase xx adroll emea dub,,,8,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'adroll' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx intercom io,DL SG,contains,debit purchase xx intercom io,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx dnh godaddy com myr,DL SG,contains,debit purchase xx dnh godaddy com myr,,,8,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchasexx google cloud b sin,DL SG,contains,debit purchasexx google cloud b sin,,,7,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx typeform s l bar,DL SG,contains,debit purchase xx typeform s l bar,,,7,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx circleci com san,DL SG,contains,debit purchase xx circleci com san,,,7,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: bexp cheng chuan mo fast paymentfast payment bex,DL SG,contains,bexp cheng chuan mo fast paymentfast payment bex,,,7,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: fast paymentfast payment bexp cheng chuan mo inv,DL SG,contains,fast paymentfast payment bexp cheng chuan mo inv,,,7,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx heroku mar debit purchase,DL SG,contains,xx heroku mar debit purchase,,,7,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: ridhi karan and associates,DL SG,contains,ridhi karan and associates,,,7,100.0,Other Operating Expenses:Corporate - Bookkeeping Fees,covered,
covered-by-counterparty,mined: muhamad haziq bin mustaffa fyle claim sg trainin,DL SG,contains,muhamad haziq bin mustaffa fyle claim sg trainin,,,7,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'muhamad haziq bin mustaffa' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx xero global in wel debit purchase auto catego,DL SG,contains,xx xero global in wel debit purchase auto catego,,,7,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'xero' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx octopods whatsapp cor debit purchase auto cat,DL SG,contains,xx octopods whatsapp cor debit purchase auto cat,,,7,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'octopods' — its arbitrated default governs; a rule would override it
rule,mined: stripe a r collection subscription payment sg mo,DL SG,contains,stripe a r collection subscription payment sg mo,1200,Trade Receivables,7,100.0,Trade and other receivables,yes,
covered-by-counterparty,mined: xx slack tljacme dub debit purchase auto categor,DL SG,contains,xx slack tljacme dub debit purchase auto categor,,,7,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'slack' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx dropbox docsend san debit purchase auto categ,DL SG,contains,xx dropbox docsend san debit purchase auto categ,,,7,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'docsend' — its arbitrated default governs; a rule would override it
rule,mined: to trixie mauricio coronel general nan auto cate,DL SG,contains,to trixie mauricio coronel general nan auto cate,5063,Customer Support - Salary,7,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,
covered-by-counterparty,mined: sent money to jennilyn reyes,DL SG,contains,sent money to jennilyn reyes,,,7,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'jennilyn reyes' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: sent money to randolf mercado,DL SG,contains,sent money to randolf mercado,,,7,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'randolf mercado' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: sent money to alexcess car,DL SG,contains,sent money to alexcess car,,,7,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'alexcess car' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx dnh godaddy syd debit purchase,DL SG,contains,xx dnh godaddy syd debit purchase,,,7,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'godaddy' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx lucidchart com charge,DL SG,contains,debit purchase xx lucidchart com charge,,,7,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchasexx upwork refxx upwork ref,DL SG,contains,debit purchasexx upwork refxx upwork ref,,,7,100.0,Accrued Expense,yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx canva i cam,DL SG,contains,debit purchase xx canva i cam,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx birthdaybot io,DL SG,contains,debit purchase xx birthdaybot io,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchase xx google ads sin debit purchase,DL SG,contains,debit purchase xx google ads sin debit purchase,,,6,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchasexx octopods whatsapp cor debit pur,DL SG,contains,debit purchasexx octopods whatsapp cor debit pur,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchasexx sharetribe com hel debit purcha,DL SG,contains,debit purchasexx sharetribe com hel debit purcha,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: fast paymentfast payment bexp onfido pte ltd inv,DL SG,contains,fast paymentfast payment bexp onfido pte ltd inv,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
rule,mined: sent noraisa domado,DL SG,contains,sent noraisa domado,5063,Customer Support - Salary,6,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,
rule,mined: sent ahmed nasr hammam nasr,DL SG,contains,sent ahmed nasr hammam nasr,5063,Customer Support - Salary,6,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,
covered-by-counterparty,mined: fast payment bexp justco singap sg jcs sg jcs fa,DL SG,contains,fast payment bexp justco singap sg jcs sg jcs fa,,,6,100.0,Other Operating Expenses:Corporate - Office Rent,yes,pattern names party 'bexp' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx msft e md fa msb debit purchase,DL SG,contains,xx msft e md fa msb debit purchase,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: ankit kumar singh,DL SG,contains,ankit kumar singh,,,6,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
dropped:already-a-live-qb-rule,mined: patricia rosale s lontoc,DL SG,contains,patricia rosale s lontoc,,,6,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,covered,
dropped:already-a-live-qb-rule,mined: adil afsar,DL SG,contains,adil afsar,,,6,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
covered-by-counterparty,mined: xx stonly com new debit purchase auto categorize,DL SG,contains,xx stonly com new debit purchase auto categorize,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'stonly' — its arbitrated default governs; a rule would override it
dropped:already-a-live-qb-rule,mined: aakash chavda,DL SG,contains,aakash chavda,,,6,100.0,Other Operating Expenses:Human Resource - Salary Expense,covered,
dropped:label-is-SPLIT,mined: xx kore wireless atl debit purchase auto categor,DL SG,contains,xx kore wireless atl debit purchase auto categor,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx octopods omnichannel cor debit purchase auto,DL SG,contains,xx octopods omnichannel cor debit purchase auto,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'octopods' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx safetyculture com ams debit purchase auto cat,DL SG,contains,xx safetyculture com ams debit purchase auto cat,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx circleci com san debit purchase auto categori,DL SG,contains,xx circleci com san debit purchase auto categori,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'circleci' — its arbitrated default governs; a rule would override it
dropped:self-or-ic-pattern,mined: xx google gsuite drivelah cc debit purchase auto,DL SG,contains,xx google gsuite drivelah cc debit purchase auto,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: xx metabase inc spr debit purchase auto categori,DL SG,contains,xx metabase inc spr debit purchase auto categori,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'metabase inc' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx adobe debit purchase auto categorized operati,DL SG,contains,xx adobe debit purchase auto categorized operati,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'adobe' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx bitly com new debit purchase auto categorized,DL SG,contains,xx bitly com new debit purchase auto categorized,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'bitly' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx birthdaybot new debit purchase auto categoriz,DL SG,contains,xx birthdaybot new debit purchase auto categoriz,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'birthdaybot' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx hubspot singapore ltd sin debit purchase auto,DL SG,contains,xx hubspot singapore ltd sin debit purchase auto,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'hubspot' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx trello com atlassian new debit purchase auto,DL SG,contains,xx trello com atlassian new debit purchase auto,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'atlassian' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx miro com san debit purchase auto categorized,DL SG,contains,xx miro com san debit purchase auto categorized,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'miro' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx twilio sendgrid san debit purchase auto categ,DL SG,contains,xx twilio sendgrid san debit purchase auto categ,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: xx recruitee btu xgtfeph ams debit purchase auto,DL SG,contains,xx recruitee btu xgtfeph ams debit purchase auto,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: to marijoy manalo riomalos general nan auto cate,DL SG,contains,to marijoy manalo riomalos general nan auto cate,,,6,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'marijoy manalo riomalos' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: to riezel basilio villanueva general nan auto ca,DL SG,contains,to riezel basilio villanueva general nan auto ca,,,6,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'riezel basilio villanueva' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx upwork ref dub debit purchase auto categorize,DL SG,contains,xx upwork ref dub debit purchase auto categorize,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'upwork' — its arbitrated default governs; a rule would override it
rule,mined: to income insurance limited general nan auto cat,DL SG,contains,to income insurance limited general nan auto cat,5035,Cost of Insurance - Trip Premium,6,100.0,Cost of Service:Insurance,yes,
dropped:self-or-ic-pattern,mined: xx google gsuite drivelah cc debit purchase,DL SG,contains,xx google gsuite drivelah cc debit purchase,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,"our own entity name in bank text — transfer/IC machinery, never a category rule"
covered-by-counterparty,mined: xx cursor ai powered ide new debit purchase,DL SG,contains,xx cursor ai powered ide new debit purchase,,,6,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'cursor' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: sent money to riezel basilio villanueva,DL SG,contains,sent money to riezel basilio villanueva,,,6,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'riezel basilio villanueva' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx monday com lon debit purchase,DL SG,contains,xx monday com lon debit purchase,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'monday.com' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx calendly buf debit purchase,DL SG,contains,xx calendly buf debit purchase,,,6,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'calendly' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx surveymonkey dub debit purchase,DL SG,contains,xx surveymonkey dub debit purchase,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx zendesk inc san,DL SG,contains,debit purchase xx zendesk inc san,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx dnh godaddy com singap,DL SG,contains,debit purchase xx dnh godaddy com singap,,,6,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: debit purchasexx google ads sin,DL SG,contains,debit purchasexx google ads sin,,,6,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
rule,mined: aud debit credit xx carnextdoor,DL SG,contains,aud debit credit xx carnextdoor,7001,Other Income - Cash Rebate,6,100.0,Other Income-Refund,yes,
covered-by-counterparty,mined: debit purchase xx google ads sin debit purchasex,DL SG,contains,debit purchase xx google ads sin debit purchasex,,,5,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx zapier com charge san,DL SG,contains,debit purchase xx zapier com charge san,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx slack tljacme dub,DL SG,contains,debit purchase xx slack tljacme dub,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx github san,DL SG,contains,debit purchase xx github san,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx octopods whatsapp cor,DL SG,contains,debit purchase xx octopods whatsapp cor,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchase xx bitly com new,DL SG,contains,debit purchase xx bitly com new,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: fast payment sala khairul haizad haizad salary d,DL SG,contains,fast payment sala khairul haizad haizad salary d,,,5,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'khairul haizard' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: debit purchase xx hotjar pac,DL SG,contains,debit purchase xx hotjar pac,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchasexx hellosign monthly san debit pur,DL SG,contains,debit purchasexx hellosign monthly san debit pur,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: aud debit purchasexx microsoft advertising msb d,DL SG,contains,aud debit purchasexx microsoft advertising msb d,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: debit purchasexx google google storage sin debit,DL SG,contains,debit purchasexx google google storage sin debit,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: bexp arena detailin,DL SG,contains,bexp arena detailin,,,5,100.0,Cost of Overhead Related to Service:Market -Asset Creation,yes,pattern names party 'bexp' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: bexp cheng chua mo,DL SG,contains,bexp cheng chua mo,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
covered-by-counterparty,mined: sent dominador gamit,DL SG,contains,sent dominador gamit,,,5,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'dominador gamit' — its arbitrated default governs; a rule would override it
rule,mined: transferwise fee for sgd sent lai mei regina teh,DL SG,contains,transferwise fee for sgd sent lai mei regina teh,6000,Salaries & Wages,5,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,
covered-by-counterparty,mined: sent jennilyn reyes,DL SG,contains,sent jennilyn reyes,,,5,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'jennilyn reyes' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: sent edgardo buenaventura,DL SG,contains,sent edgardo buenaventura,,,5,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'edgardo buenaventura' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx google ads sin debit purchasedebit purchase,DL SG,contains,xx google ads sin debit purchasedebit purchase,,,5,100.0,Other Operating Expenses:Marketing - Advertising (new customers),yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: fast payment bexp florence look photographer dri,DL SG,contains,fast payment bexp florence look photographer dri,,,5,100.0,Cost of Overhead Related to Service:Market -Asset Creation,yes,pattern names party 'bexp' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: sent money to dominador gamit,DL SG,contains,sent money to dominador gamit,,,5,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,pattern names party 'dominador gamit' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx notionforms neu debit purchase,DL SG,contains,xx notionforms neu debit purchase,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx docsend by dropbox san debit purchase,DL SG,contains,xx docsend by dropbox san debit purchase,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
dropped:label-is-SPLIT,mined: xx drive mate bri debit purchase,DL SG,contains,xx drive mate bri debit purchase,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
dropped:already-a-live-qb-rule,mined: onfido pte ltd,DL SG,contains,onfido pte ltd,,,5,100.0,Other Operating Expenses:Technology System Cost,covered,
dropped:label-is-SPLIT,mined: wash and go,DL SG,contains,wash and go,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
rule,mined: nipa riten mody,DL SG,contains,nipa riten mody,6000,Salaries & Wages,5,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,
rule,mined: stripe a r collection incidentals invoice paymen,DL SG,contains,stripe a r collection incidentals invoice paymen,1200,Trade Receivables,5,100.0,Trade and other receivables,yes,
