match_key,contra_account,hits,purity_pct,is_new_vs_live_rules
sent edgardo buenaventura,Other Operating Expenses:Marketing - Advertising (new customers),5,100.0,yes
xx google ads sin debit purchasedebit purchase,Other Operating Expenses:Marketing - Advertising (new customers),5,100.0,yes
fast payment bexp florence look photographer dri,Cost of Overhead Related to Service:Market -Asset Creation,5,100.0,yes
sent money to dominador gamit,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,5,100.0,yes
xx notionforms neu debit purchase,Other Operating Expenses:Technology System Cost,5,100.0,yes
xx docsend by dropbox san debit purchase,Other Operating Expenses:Technology System Cost,5,100.0,yes
xx drive mate bri debit purchase,Cost of Overhead Related to Service:Operating Expenses,5,100.0,yes
onfido pte ltd,Other Operating Expenses:Technology System Cost,5,100.0,covered
wash and go,Cost of Overhead Related to Service:Operating Expenses,5,100.0,yes
nipa riten mody,Other Operating Expenses:Human Resource - Salary Expense,5,100.0,yes
stripe a r collection incidentals invoice paymen,Trade and other receivables,5,100.0,yes
to aman yadav general nan auto categorized opera,Other Operating Expenses:Human Resource - Salary Expense,5,100.0,yes
xx docusign inc wil debit purchase auto categori,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx tldx solutions gmbh aac debit purchase auto c,"AI, Internet & Website Maintenance fees",5,100.0,yes
xx zapier com charge san debit purchase auto cat,"AI, Internet & Website Maintenance fees",5,100.0,yes
xx voucherify kat debit purchase auto categorize,"AI, Internet & Website Maintenance fees",5,100.0,yes
xx zoom com san debit purchase auto categorized ,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx timetastic wil debit purchase auto categorize,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx surveymonk t dub debit purchase auto categori,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx google one sin debit purchase auto categorize,"AI, Internet & Website Maintenance fees",5,100.0,yes
xx canva i cam debit purchase auto categorized o,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx calendly avo debit purchase auto categorized ,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx onelink to jar debit purchase auto categorize,"AI, Internet & Website Maintenance fees",5,100.0,yes
xx retool san debit purchase auto categorized op,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
to inv towlah sg recovery general nan auto categ,Cost of Overhead Related to Service:Operating Expenses:Towing,5,100.0,yes
to terrence dimagan genetiano general nan auto c,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,5,100.0,yes
to vignesh general nan auto categorized cost of ,Cost of Overhead Related to Service:Operating Expenses,5,100.0,yes
sent money to emmanuel jacobo,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,5,100.0,yes
xx adobe sag debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx coderabbit coderabbit wal debit purchase,Other Operating Expenses:Corporate - Subscription/Software Expenses,5,100.0,yes
xx zoom us debit purchase,Other Operating Expenses:Technology System Cost,5,100.0,yes
apify inv prague cz card xx usd value date,"Operating Expenses:AI, Internet & Website maintenance fees",5,100.0,yes
fast transfer from fin nor holdings limi credit ,Loan,5,100.0,yes
uber australia pty ltd,Operating Expenses:Travel Expense,5,100.0,yes
drive mate melbourne au card xx value date auto ,Cost of Overhead Related to Service:Operating Expenses,5,100.0,yes
claude ai subscription httpswww anth ca us card ,"Operating Expenses:AI, Internet & Website maintenance fees",5,100.0,yes
transfer to granville collision centre netbank i,Cost of Overhead Related to Service:Operating Expenses,5,100.0,yes
