qb_label,qb_leaf,usage_count,entities,llm_code,llm_name,llm_confidence,llm_reason,approved_code,approved_notes,rec_code,score,FLAG
Cost of Service:Host Earnings:Stripe_transfers_usage,Stripe_transfers_usage,1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Gross Revenue-Car Rental Usage:Stripe Platform earnings (deleted),Stripe Platform earnings (deleted),1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_usage (deleted),Stripe_sales_usage (deleted),1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Gross Revenue-Car Rental Usage:Stripe Refunds,Stripe Refunds,1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Gross-Other Income,Gross-Other Income,1,au,7000,Other Income - Grants,high,Other income (AU) -> Other Income - Grants/other; best generic other-income code,,GAURAV 2026-07-23: 1 line — leave for line-level review at replay,7000,0.546,review-at-replay
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_deposits (deleted),Stripe_sales_deposits (deleted),1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_disputes,Stripe_sales_disputes,1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
4300-STRIPE-INC Stripe - Incidentals Revenue,4300-STRIPE-INC Stripe - Incidentals Revenue,1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
Gross Revenue-Car Rental Usage:Stripe sales:Stripe_sales_subscriptions (deleted),Stripe_sales_subscriptions (deleted),1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
4100-STRIPE-TRIP Stripe - Trip Revenue,4100-STRIPE-TRIP Stripe - Trip Revenue,1,au,,,,,,,,,bank-acct (per-entity 1000-1199)
4101 CMB - Trip Revenue,4101 CMB - Trip Revenue,1,au,2100,Deferred Trip Revenue,med,"CMB trip revenue collected; if unearned booking payment then Deferred Trip Revenue (2100), else 4000",,,2100,0.536,review
Cost of Service:Payment Gateway:Stripe fees,Stripe fees,1,au,5010,Payment Processing Fees,high,Stripe processing fees = Payment Processing Fees,5010,,6501,0.429,audited-ok
Cost of Service:Payment Gateway:Stripe Fees (deleted),Stripe Fees (deleted),1,au,5010,Payment Processing Fees,high,Stripe payment gateway fees = Payment Processing Fees,5010,,6501,0.305,audited-ok
Insurance,Insurance,1,au,5035,Cost of Insurance - Trip Premium,low,"Bare ""Insurance""; likely trip insurance premium cost 5035; could be 4011/4030 - uncertain.",,,4030,0.548,review
Intangible Assets:Technology Development:Technology Development - Accumulated Depreciation,Technology Development - Accumulated Depreciation,1,ven,1810,Accum Amort - Technology Development,high,Accum amort of Technology Development -> Accum Amort - Technology Development (contra-asset; machine 1710 gross asset is wrong),1810,,1710,0.548,audited-ok
Depreciation Expenses,Depreciation Expenses,1,ven,7300,Depreciation - Computer & Equipment,med,generic depreciation expense — Depreciation - Computer & Equipment default; machine rec 7301 specific to devices,,,7301,0.456,review
Intangible Assets:Brand:Brand - Amortization,Brand - Amortization,1,ven,7401,Amortisation - Brand,high,"amortisation expense on Brand = Amortisation - Brand (P&L), not the asset 1700",1800,"AUDIT 2026-07-23: nested under the asset — accumulated amortisation (contra-asset), not P&L 7401",1700,0.46,approved
"Operating Expenses:Corporate-COSEC, FS & Tax","Corporate-COSEC, FS & Tax",1,ven,6500,Accounting & Bookkeeping Fees,med,CoSec/financial-statements/tax compliance fees = Accounting & Bookkeeping Fees,,,9000,0.28,review
Other Revenue,Other Revenue,1,ven,4025,Incidentals Revenue - Other,med,Generic other revenue -> Incidentals Revenue Other 4025.,,,4025,0.48,review
Provision for Taxation,Provision for Taxation,1,ven,9000,Income Tax Expense,high,Tax provision -> Income Tax Expense (machine 5064 is wrong),9000,,5064,0.173,audited-ok
Accruals,Accruals,1,ven,2200,Accrued Expenses,high,accruals — Accrued Expenses,2200,,2200,0.2,audited-ok
Deposit,Deposit,1,ven,1310,Customer Deposits,med,deposit paid out = Customer Deposits (asset); could be deposit held if received,,,1310,0.533,review
Investment in Subsidiaries:Investment in Subsidiary - Drive Lah Pte Ltd (SG),Investment in Subsidiary - Drive Lah Pte Ltd (SG),1,ven,,,low,Equity investment in subsidiary — no COA account exists; needs a decision,,,5035,0.158,review
Investment in Subsidiaries:Investment in subsidiary - Drive Lah Pty Ltd (AU),Investment in subsidiary - Drive Lah Pty Ltd (AU),1,ven,3300,Suspense Account,low,Investment in subsidiary; no equity-investment COA line; route to Suspense 3300 - needs decision.,,,5035,0.158,review
Unrealized capital contribution,Unrealized capital contribution,1,ven,3000,Share Capital,med,Capital contribution -> Share Capital (equity); 'unrealized' suggests pending but equity type fits best,,,3000,0.332,review
Other Revenue:Other Income-Refund,Other Income-Refund,1,ven,7000,Other Income - Grants,low,"other income refund; ambiguous — mapped to Other Income, could be an expense refund",,,7000,0.5,review
Operating Expenses:Corporate-Prof. Fees (Others),Corporate-Prof. Fees (Others),1,ven,6500,Accounting & Bookkeeping Fees,med,other professional fees = Accounting & Bookkeeping Fees / professional fees bucket,,,2400,0.311,review
Operating Expenses:Corporate - Company Secretary Fees,Corporate - Company Secretary Fees,1,ven,6500,Accounting & Bookkeeping Fees,med,Company secretary fees = professional/accounting fees,,,6104,0.268,review
Operating Expenses:Bank Fees,Bank Fees,1108,au,6600,Bank Fees,high,Bank Fees -> 6600 (anchor).,6600,,6600,1,audited-ok
Trade and other payables,Trade and other payables,617,sg_,2000,Trade & Other Payables,high,Trade & other payables -> Trade & Other Payables,2000,,2000,0.965,audited-ok
Other Income,Other Income,393,"au,sg_",7000,Other Income - Grants,high,other income — Other Income - Grants (group-level other income),SPLIT,AUDIT 2026-07-23: generic income catch-all — grants 7000 / interest 7002 / rebates 7001 per line,7000,0.591,approved
Operating Expenses:Travel Expense,Travel Expense,380,au,6400,Travel - Tickets,high,travel expense (tickets) = Travel - Tickets,6400,,6401,0.557,audited-ok
Due to Ventures,Due to Ventures,220,"au,sg_",8101,IC - Due to Ventures (SG books),high,SG books owed to Ventures = Due to Ventures (SG books),ENTITY-DEPENDENT,AUDIT 2026-07-23: SG books -> 8101; AU books -> 8111 (per-entity IC convention),8101,0.661,approved
Trade and other payables - USD,Trade and other payables - USD,198,sg_,2000,Trade & Other Payables,high,Trade & other payables -> 2000.,2000,,2000,0.723,audited-ok
Operating Expenses:Meals and Entertainment,Meals and Entertainment,116,au,6402,Entertainment,high,Meals & entertainment -> Entertainment,6402,,6402,0.589,audited-ok
Accrued Expense,Accrued Expense,113,"au,sg_",2200,Accrued Expenses,high,accrued expense — Accrued Expenses,2200,,2200,0.987,audited-ok
Cost of Overhead Related to Service:Market -Asset Creation,Market -Asset Creation,88,sg_,6103,Marketing - Asset Creation,high,marketing asset/creative production = Marketing - Asset Creation,6103,,6103,0.667,audited-ok
Other Operating Expenses:Marketing Asset Creation,Marketing Asset Creation,87,sg_,6103,Marketing - Asset Creation,high,Marketing creative asset production = Marketing - Asset Creation,6103,,6103,0.984,audited-ok
Other Operating Expenses:Marketing - Advertising (new customers):Sticker payouts,Sticker payouts,52,sg_,5041,Host Payouts - Sticker,high,Sticker payouts to hosts -> Host Payouts Sticker 5041.,5041,,5041,0.616,audited-ok
Cost of Overhead Related to Service:Refunds,Refunds,51,"au,sg_",5052,Refunds - Trip,med,Trip refunds -> Refunds - Trip; generic 'Refunds' could span incidentals (5053),,,5052,0.567,
Other Operating Expenses:Travel-Meals,Travel-Meals,49,sg_,6401,Travel - Meals,high,travel meals — Travel - Meals,6401,,6401,0.969,audited-ok
Share Capital - Ordinary,Share Capital - Ordinary,44,ven,3000,Share Capital,high,ordinary share capital = Share Capital (equity),3000,,3000,0.681,audited-ok
Cost of Overhead Related to Service:Marketing - Discount & Promotions:Discounts,Discounts,42,sg_,5050,Monthly Discounts,high,Promotional discounts on bookings = Monthly Discounts,5050,,5050,0.577,audited-ok
Other Operating Expenses:Corporate - Legal Fees,Corporate - Legal Fees,39,sg_,6501,Legal Fees,high,Legal Fees -> 6501 (anchor).,6501,,6501,0.65,audited-ok
Other Operating Expenses:Human Resource - Directors' Salary,Human Resource - Directors' Salary,37,sg_,6003,Directors Salary,high,Directors' salary -> Directors Salary,6003,,6003,0.556,audited-ok
Subscriptions/ Software expenses,Subscriptions/ Software expenses,37,au,6701,Technology - Software Subscriptions,high,software subscriptions — Technology - Software Subscriptions,6701,,6701,0.555,audited-ok
Technology Development,Technology Development,33,sg_,1710,Technology Development,high,capitalised technology development = Technology Development (intangible asset),1710,,1710,1,audited-ok
Due From Ventures,Due From Ventures,22,sg_,8001,IC - Due from Ventures (SG books),high,SG books receivable from Ventures = Due from Ventures (SG books),8001,,8001,0.672,audited-ok
Other Operating Expenses:Corporate - Office Rent,Corporate - Office Rent,21,sg_,6300,Office Rent,high,Office Rent -> 6300.,6300,,6300,0.659,audited-ok
Cost of Overhead Related to Service:Operating Expenses:Sticker payouts,Sticker payouts,21,sg_,5041,Host Payouts - Sticker,high,Sticker host payouts -> Host Payouts - Sticker,5041,,5041,0.616,audited-ok
Share Capital - Ordinary:Share Capital - Preference,Share Capital - Preference,20,ven,3000,Share Capital,high,share capital (equity) — Share Capital,3000,,3000,0.667,audited-ok
Other Operating Expenses:Corporate - Bookkeeping Fees,Corporate - Bookkeeping Fees,18,sg_,6500,Accounting & Bookkeeping Fees,high,bookkeeping fees = Accounting & Bookkeeping Fees,6500,,6500,0.595,audited-ok
Trade and other payables - INR,Trade and other payables - INR,17,sg_,2000,Trade & Other Payables,high,Trade & other payables = Trade & Other Payables,2000,,2000,0.723,audited-ok
Cost of Overhead Related to Service:Marketing - Discount & Promotions:Superhost payouts,Superhost payouts,17,sg_,5040,Host Payouts - Superhost,high,Superhost payouts to hosts -> Host Payouts Superhost 5040.,5040,,5040,0.634,audited-ok
Device subscriptions,Device subscriptions,16,sg_,5030,Cost of Device Subscriptions,med,Device subscription cost -> Cost of Device Subscriptions; could be 4010 revenue but labeled as expense bucket,,,5030,0.933,
Flex+,Flex+,16,sg_,4002,GBV - Flex+,high,Flex+ long-term rental revenue — GBV - Flex+,4002,,4002,0.55,audited-ok
Bank charges and fees,Bank charges and fees,14,au,6600,Bank Fees,high,bank charges and fees = Bank Fees,6600,,6600,0.64,audited-ok
Cost of Overhead Related to Service:Marketing - Advertising (retargeting),Marketing - Advertising (retargeting),11,sg_,6100,Marketing - Digital Advertising,high,Retargeting advertising = digital advertising,6100,,6100,0.571,audited-ok
Computer and Peripherals,Computer and Peripherals,10,sg_,1500,Computer & Peripherals,high,Computer & Peripherals fixed asset -> 1500.,1500,,1500,0.965,audited-ok
Operating Expenses:Recruitment Expense,Recruitment Expense,9,au,6200,HR - Recruitment,high,Recruitment expense -> HR - Recruitment,6200,,6200,0.851,audited-ok
Operating Expenses:Marketing Asset Creation,Marketing Asset Creation,9,au,6103,Marketing - Asset Creation,high,marketing creative asset production — Marketing - Asset Creation,6103,,6103,0.984,audited-ok
Superannuation payable,Superannuation payable,8,au,2302,Superannuation Payable (AU),high,AU super owed to funds = Superannuation Payable (AU),2302,,2302,0.959,audited-ok
In-car Devices,In-car Devices,7,sg_,1510,Hardware Devices,med,In-car device account = Hardware Devices asset (not depreciation),,,7301,0.66,
Share Capital,Share Capital,7,sg_,3000,Share Capital,high,Share Capital equity -> 3000 (anchor).,3000,,3000,1,audited-ok
Other Operating Expenses:Corporate - Fines and Penalties,Corporate - Fines and Penalties,7,sg_,6502,Fines & Penalties,high,Fines and penalties -> Fines & Penalties,6502,,6502,0.667,audited-ok
Loans to Others,Loans to Others,7,sg_,1320,Loans to Others,high,loans extended to others (asset) — Loans to Others,1320,,1320,1,audited-ok
Accounting and bookkeeping,Accounting and bookkeeping,6,au,6500,Accounting & Bookkeeping Fees,high,accounting and bookkeeping = Accounting & Bookkeeping Fees,6500,,6500,0.735,audited-ok
Accounts Payable,Accounts Payable,4,sg_,2000,Trade & Other Payables,high,Accounts Payable = Trade & Other Payables,2000,,2010,0.567,audited-ok
Hardware Devices,Hardware Devices,4,au,1510,Hardware Devices,high,In-car hardware/telematics devices -> Hardware Devices 1510.,1510,,1510,1,audited-ok
Other Payables,Other Payables,3,sg_,2010,Other Payables,high,Non-trade payable -> Other Payables,2010,,2010,1,audited-ok
Motor vehicles at cost,Motor vehicles at cost,3,au,1520,Motor Vehicles,high,motor vehicles at cost — Motor Vehicles,1520,,1520,0.911,audited-ok
Deferred Income,Deferred Income,3,ven,2210,Deferred Income,high,cash received for undelivered service = Deferred Income (liability),2210,,2210,1,audited-ok
Cost of Service:Host Earnings:Flex+ payouts,Flex+ payouts,2,sg_,5002,Host Payouts - Flex+,high,Flex+ host payouts = Host Payouts - Flex+,5002,,5002,0.594,audited-ok
Suspense Account,Suspense Account,2,sg_,3300,Suspense Account,high,Suspense Account -> 3300.,3300,,3300,1,audited-ok
Retained Earnings,Retained Earnings,2,"sg_,ven",3100,Retained Earnings,high,Retained earnings -> Retained Earnings,3100,,3100,1,audited-ok
Fines & Penalties,Fines & Penalties,2,au,6502,Fines & Penalties,high,fines and penalties — Fines & Penalties,6502,,6502,1,audited-ok
Loan Payable,Loan Payable,2,ven,2400,Loans from Others,high,loan owed = Loans from Others (liability); money received,2400,,2010,0.577,audited-ok
Technology Development:Accumulated amortisation - Technology Development,Accumulated amortisation - Technology Development,1,sg_,1810,Accum Amort - Technology Development,high,Accumulated amortisation contra-asset = Accum Amort - Technology Development,1810,,7400,0.794,audited-ok
In-car Devices:Accumulated Depreciation-In-car Devices,Accumulated Depreciation-In-car Devices,1,sg_,1610,Accum Depr - Hardware Devices,high,Accumulated depreciation on in-car devices -> Accum Depr Hardware Devices 1610 (machine 7301 is the P&L charge - wrong).,1610,,7301,0.768,audited-ok
Depreciation-Equipment,Depreciation-Equipment,1,sg_,7300,Depreciation - Computer & Equipment,high,Depreciation expense on equipment -> Depreciation - Computer & Equipment,7300,,7300,0.709,audited-ok
Trade and other receivables,Trade and other receivables,1,sg_,1200,Trade Receivables,high,trade receivables — Trade Receivables,1200,,1200,0.909,audited-ok
Brand,Brand,1,sg_,1700,Brand,high,capitalised brand asset = Brand (intangible asset),1700,,1700,1,audited-ok
Allowance for doubtful accounts,Allowance for doubtful accounts,1,sg_,1900,Allowance for Doubtful Accounts,high,Bad debt provision contra-asset = Allowance for Doubtful Accounts,1900,,1900,1,audited-ok
Hardware,Hardware,1,sg_,1510,Hardware Devices,high,Hardware = in-car devices fixed asset -> 1510.,1510,,1510,0.567,audited-ok
Accumulated amortisation - Technology Development,Accumulated amortisation - Technology Development,1,sg_,1810,Accum Amort - Technology Development,high,Accum amort of Technology Development -> Accum Amort - Technology Development (machine 7400 expense is wrong type),1810,,7400,0.794,audited-ok
Accumulated Depreciation-In-car Devices,Accumulated Depreciation-In-car Devices,1,sg_,1610,Accum Depr - Hardware Devices,high,accumulated depreciation on in-car devices — Accum Depr - Hardware Devices,1610,,7301,0.768,audited-ok
Other Deposit,Other Deposit,1,sg_,1310,Customer Deposits,med,other deposit paid out = Customer Deposits (asset); direction assumed outbound,,,1310,0.593,
4301 CMB - Incidental Revenue,4301 CMB - Incidental Revenue,1,au,4025,Incidentals Revenue - Other,med,Incidental revenue = Incidentals Revenue - Other,,,4025,0.657,
Intangible Assets:Technology Development:Technology Development - At Cost,Technology Development - At Cost,1,ven,1710,Technology Development,high,Technology Development intangible at cost -> 1710.,1710,,1710,0.926,audited-ok
Depreciation - Technology Development,Depreciation - Technology Development,1,ven,7400,Amortisation - Technology Development,high,Amortisation expense on Technology Development -> Amortisation - Technology Development (machine 1710 asset is wrong type),7400,,1710,0.698,audited-ok
Currency Exchange,Currency Exchange,1,ven,1330,Currency Exchange,high,currency exchange clearing — Currency Exchange,1330,,1330,1,audited-ok
In-car devices...:Accumulated Depreciation-In-car Devices,Accumulated Depreciation-In-car Devices,1,ven,1610,Accum Depr - Hardware Devices,high,"accumulated depreciation contra-asset for in-car devices = Accum Depr - Hardware Devices, not P&L expense",1610,,7301,0.768,audited-ok
Suspense,Suspense,1,ven,3300,Suspense Account,high,Suspense holding account = Suspense Account,3300,,3300,0.867,audited-ok
Income Tax Expense,Income Tax Expense,1,ven,9000,Income Tax Expense,high,Income Tax Expense -> 9000.,9000,,9000,1,audited-ok
Corporate - Fines and Penalties,Corporate - Fines and Penalties,1,ven,6502,Fines & Penalties,high,Fines and penalties -> Fines & Penalties,6502,,6502,0.667,audited-ok
Prepayments,Prepayments,1,ven,1300,Prepayments,high,prepayments — Prepayments,1300,,1300,1,audited-ok
Account Payables,Account Payables,1,ven,2000,Trade & Other Payables,high,accounts payable = Trade & Other Payables,2000,,2010,0.893,audited-ok
In-car devices...,In-car devices...,1,ven,1510,Hardware Devices,med,In-car device account = Hardware Devices asset (not depreciation),,,7301,0.643,
Intangible Assets:Brand:Brand - Cost,Brand - Cost,1,ven,1700,Brand,high,Brand intangible at cost -> 1700.,1700,,1700,0.835,audited-ok
